Usuario|Fecha|Texto
mesmikaint|2018-01-17 13:03:15|https://t.co/GYpN2vx2k5   Winter @mehsuff - metal holiday in the middle of Europe #mehsuff #швейцария #метал #metal… https://t.co/4ASK5i2grM
MsMK_PDSB|2018-01-16 00:57:21|RT @PeelSchools: Wise words to live by: "The time is always right to do what is right."  Wishing our American friends and others around the…
Masterexperienc|2018-01-11 21:11:59|RT @mart_gs: Cerveceando en @MSMK_ con la @cervezascone y @jcortecero. Behind the Legend, Beyond the Brief... https://t.co/6XOGPUAU86
jcortecero|2018-01-11 21:10:02|RT @mart_gs: Cerveceando en @MSMK_ con la @cervezascone y @jcortecero. Behind the Legend, Beyond the Brief... https://t.co/6XOGPUAU86
cervezascone|2018-01-11 20:50:53|RT @mart_gs: Cerveceando en @MSMK_ con la @cervezascone y @jcortecero. Behind the Legend, Beyond the Brief... https://t.co/6XOGPUAU86
mart_gs|2018-01-11 20:45:02|Cerveceando en @MSMK_ con la @cervezascone y @jcortecero. Behind the Legend, Beyond the Brief... https://t.co/6XOGPUAU86
NataliQtevi|2018-01-11 20:41:29|Challenge accepted @cervezascone @MSMK_ https://t.co/mQOPLCHcm6
thebroken79|2018-01-10 22:48:25|LGD vs MSMK (Conquest) Friendly: https://t.co/bh8z1g3lmY via @YouTube
thebroken79|2018-01-10 22:40:37|I added a video to a @YouTube playlist https://t.co/bh8z1g3lmY LGD vs MSMK (Conquest) Friendly
palomaguado|2018-01-10 09:50:22|Back to School! @MSMK_  #marketing https://t.co/MTBb8Xd68d
janey_janeCB|2018-01-09 14:33:34|Lots of pathetic people.. I felt pity on them tsk
janey_janeCB|2018-01-09 14:31:59|Life is Fair because it is UNFAIR 😌 -sir clent
janey_janeCB|2018-01-09 14:31:03|I can't imagine how stupid you are..
janey_janeCB|2018-01-09 14:29:52|I'm so done to those shitty people damn
janey_janeCB|2018-01-09 14:29:04|How pathetic person you are gosh 😕
janey_janeCB|2018-01-09 14:26:35|Can't trust them psh... Traitor tss 😑
janey_janeCB|2018-01-09 14:22:14|This 😢😭😭😭 https://t.co/lIFHpvj6eC
